Location,Latitude,Longitude
Clarke Rd & Dundas St,43.00147222222222,-81.17419444444445
Dundas St & Wavell St,43.00641666666667,-81.16980555555556
Dundas St & Carlyle Dr,43.00855555555555,-81.162
Dundas St & Veterans Memorial Pkwy,43.010333333333335,-81.15508333333334
Admiral Dr & Veterans Memorial Pkwy,43.00372222222222,-81.15186111111112
Western Rd & Lambton Dr,43.00588888888889,-81.27691666666666
Lambton Dr & University Dr,43.00797222222222,-81.26991666666666
Windermere Rd & Perth Dr,43.01533333333333,-81.27525
Windermere Rd & Richmond St,43.016305555555554,-81.27205555555555
Western Rd & Richmond St,43.02002777777778,-81.27858333333333
Shavian Blvd & Richmond St,43.021277777777776,-81.27980555555555
Richmond St & Hillview Blvd,43.021277777777776,-81.27980555555555
Richmond St & N Centre Rd,43.021277777777776,-81.27980555555555
Gainsborough Rd & Wonderland Rd N,43.00680555555556,-81.30419444444445
Gainsborough Rd & Aldersbrook Rd,43.003416666666666,-81.31588888888889
Aldersbrook Gate & Fanshawe Park Rd W,43.015055555555556,-81.32208333333332
Fanshawe Park Rd W & Dalmagary Rd,43.0125,-81.33097222222221
Hyde Park Rd & Fanshawe Park Rd,43.0125,-81.33097222222221
Hyde Park Rd & Prince Phillip Dr,42.98275,-81.32397222222222
Hyde Park Rd & Royal York Rd,42.978611111111114,-81.3218611111111
Hyde Park Rd & Riverside Dr,42.964111111111116,-81.31455555555556
Commissioners Rd W & Boler Rd,42.95966666666667,-81.33272222222222
Commissioners Rd W & Halls Mill Rd,42.96044444444445,-81.33491666666666
Commissioners Rd W & Cadeau Terrace,42.963861111111115,-81.34733333333332
Oxford St W & Westdel Bourne,42.96413888888889,-81.36491666666666
Wonderland Rd N & Blackacres Blvd,43.01,-81.30577777777778
Western Rd & Platts Ln,42.996583333333334,-81.27486111111111
Oxford St W & Platts Ln,42.990027777777776,-81.27166666666666
Oxford St W & Cherryhill Blvd,42.98866666666667,-81.2761388888889
Oxford St W & Proudfoot Ln,42.985166666666665,-81.28791666666666
Wonderland Rd & Farrah Rd,42.98563888888889,-81.29355555555556
Wonderland Rd N & Riverside Dr,42.98563888888889,-81.29355555555556
Wonderland Rd S & Commissioners Rd W,42.95416666666667,-81.2906111111111
Commissioners Rd W & Westmount Dr,42.95205555555556,-81.30291666666666
Commissioners Rd W & Springbank Dr,42.954638888888894,-81.31583333333333
Byron Baseline Rd & North St,42.95397222222223,-81.32119444444444
Commissioners Rd W & North St,42.956611111111116,-81.32177777777777
Commissioners Rd W * Lynden Crescent,42.95788888888889,-81.32605555555556
Longwoods Rd & Colonel Talbot Rd,42.909555555555556,-81.30019444444444
Byron Baseline Rd & Boler Rd,42.95308333333334,-81.33108333333332
Oxford St W & Commissioners Rd W,42.96736111111111,-81.3548611111111
Oxford St W & Sanatorium Rd,42.97166666666667,-81.33433333333333
Western Rd & Huron Univ,43.00727777777778,-81.27708333333334
Western Rd & Elgin Rd,43.010222222222225,-81.27727777777778
Western Rd & Wellington Dr,43.01116666666667,-81.27741666666667
University Dr & Sunset St,43.00772222222222,-81.26580555555556
University Dr & Richmond St,43.009027777777774,-81.26133333333334
Richmond St & Huron St,43.00702777777778,-81.25919444444445
Cheapside St & Colborne St,43.003861111111114,-81.24861111111112
Cheapside St & Maitland St,43.004583333333336,-81.24580555555556
Cheapside St & Adeladie St N,43.00613888888889,-81.24008333333333
Cheapside St & Gammage St,43.00852777777778,-81.23138888888889
Richmond St & Dufferin Ave,42.986583333333336,-81.25063888888889
Richmond St & Angel St,42.988527777777776,-81.25069444444445
Richmond St & Central Ave,42.99041666666667,-81.25058333333334
Richmond St & Hyman St,42.99138888888889,-81.25105555555555
Oxford St E & Talbot St,42.99422222222222,-81.25752777777778
Richmond St & Pall Mall St,42.99241666666667,-81.25155555555556
Central Ave & Colborne St,42.992444444444445,-81.24280555555556
Wellington Rd S & Roxburgh Rd,42.91855555555556,-81.20972222222223
Bradley Ave & Ernest Ave,42.93433333333333,-81.23644444444444
Bradley Ave & Wellington Rd,42.93447222222222,-81.22352777777778
Southdale Rd E & Wellington Rd,42.943527777777774,-81.22580555555555
